basin_id,date,precip_mm,temp_c,evapotranspiration_mm
1362100,2000-01-01,4.35,14.7,45.64
1362100,2000-02-01,2.4,15.51,56.29
1362100,2000-03-01,1.53,19.19,82.94
1362100,2000-04-01,1.04,24.26,104.5
1362100,2000-05-01,0.98,28.78,134.94
1362100,2000-06-01,0.19,33.6,175.28
1362100,2000-07-01,0.12,33.99,171.08
1362100,2000-08-01,0.37,32.93,169.41
1362100,2000-09-01,0.41,30.88,146.35
1362100,2000-10-01,1.41,26.43,103.35
1362100,2000-11-01,3.08,19.4,65.62
1362100,2000-12-01,4.39,16.36,49.57
1362100,2001-01-01,5.2,14.57,43.02
1362100,2001-02-01,3.23,15.43,47.51
1362100,2001-03-01,2.26,19.72,79.32
1362100,2001-04-01,1.2,25.83,107.17
1362100,2001-05-01,0.92,30.25,129.07
1362100,2001-06-01,0.17,33.4,151.7
1362100,2001-07-01,0.1,34.36,172.35
1362100,2001-08-01,0.38,34.18,168.56
1362100,2001-09-01,0.44,31.63,142.2
1362100,2001-10-01,1.44,27.24,112.36
1362100,2001-11-01,3.22,20.71,67.69
1362100,2001-12-01,5.05,16.16,47.92
1362100,2002-01-01,6.11,13.71,40.22
1362100,2002-02-01,3.58,15.66,51.67
1362100,2002-03-01,2.1,18.66,82.9
1362100,2002-04-01,1.08,25.49,109.24
1362100,2002-05-01,0.76,28.62,132.95
1362100,2002-06-01,0.16,33.6,159.3
1362100,2002-07-01,0.12,33.23,166.49
1362100,2002-08-01,0.35,33.29,168.25
1362100,2002-09-01,0.42,30.58,142.66
1362100,2002-10-01,1.7,26.88,97.32
1362100,2002-11-01,3.54,22.16,71.91
1362100,2002-12-01,4.93,16.05,45.35
1362100,2003-01-01,5.53,13.49,44.04
1362100,2003-02-01,3.68,15.52,53.3
1362100,2003-03-01,2.76,19.63,72.65
1362100,2003-04-01,1.14,25.67,94.37
1362100,2003-05-01,0.77,28.91,138.83
1362100,2003-06-01,0.22,33.39,155.87
1362100,2003-07-01,0.11,34.14,168.91
1362100,2003-08-01,0.27,32.99,151.2
1362100,2003-09-01,0.44,31.45,145.33
1362100,2003-10-01,1.89,26.32,117.75
1362100,2003-11-01,3.93,20.71,69.04
1362100,2003-12-01,5.0,16.62,50.83
1362100,2004-01-01,5.63,14.21,46.03
1362100,2004-02-01,3.82,15.8,52.37
1362100,2004-03-01,2.49,19.66,72.49
1362100,2004-04-01,0.86,24.21,105.88
1362100,2004-05-01,0.87,28.95,147.5
1362100,2004-06-01,0.2,32.63,156.47
1362100,2004-07-01,0.1,34.27,170.49
1362100,2004-08-01,0.26,34.28,151.24
1362100,2004-09-01,0.51,31.18,132.66
1362100,2004-10-01,1.78,26.25,108.39
1362100,2004-11-01,3.39,21.66,73.11
1362100,2004-12-01,4.45,15.82,50.35
1362100,2005-01-01,5.27,15.08,48.14
1362100,2005-02-01,2.93,15.68,45.35
1362100,2005-03-01,2.2,19.06,76.62
1362100,2005-04-01,1.27,24.84,104.84
1362100,2005-05-01,0.82,29.19,139.36
1362100,2005-06-01,0.1,32.52,157.12
1362100,2005-07-01,0.09,33.84,170.8
1362100,2005-08-01,0.27,34.65,165.51
1362100,2005-09-01,0.5,31.25,139.39
1362100,2005-10-01,1.55,26.6,109.5
1362100,2005-11-01,3.48,21.24,71.01
1362100,2005-12-01,3.86,15.72,54.03
1362100,2006-01-01,5.9,14.56,43.29
1362100,2006-02-01,3.1,15.35,50.56
1362100,2006-03-01,2.31,19.4,81.73
1362100,2006-04-01,0.94,24.35,97.78
1362100,2006-05-01,0.65,29.34,126.96
