basin_id,year,population_sum
1362100,2000,4171939
1362100,2001,4262657
1362100,2002,4396710
1362100,2003,4482421
1362100,2004,4607612
1362100,2005,4712706
1362100,2006,4744165
1362100,2007,4846165
1362100,2008,4903952
1362100,2009,5003566
1362100,2010,5016563
1362100,2011,5163149
1362100,2012,5267392
1362100,2013,5446071
1362100,2014,5523793
1362100,2015,5762574
1362100,2016,5876152
1362100,2017,5935140
1362100,2018,6054805
1362100,2019,6189433
1362200,2000,3795964
1362200,2001,3872560
1362200,2002,3915112
1362200,2003,4017103
1362200,2004,4160128
1362200,2005,4201229
1362200,2006,4263714
1362200,2007,4351863
1362200,2008,4457098
1362200,2009,4593197
1362200,2010,4571519
1362200,2011,4711858
1362200,2012,4860998
1362200,2013,4844925
1362200,2014,5080445
1362200,2015,5071692
1362200,2016,5251552
1362200,2017,5325512
1362200,2018,5446602
1362200,2019,5468760
1362300,2000,2102528
1362300,2001,2134313
1362300,2002,2211057
1362300,2003,2216479
1362300,2004,2272841
1362300,2005,2311817
1362300,2006,2374145
1362300,2007,2441226
1362300,2008,2460883
1362300,2009,2520873
1362300,2010,2533493
1362300,2011,2612839
1362300,2012,2630990
1362300,2013,2692211
1362300,2014,2805452
1362300,2015,2824083
1362300,2016,2864489
1362300,2017,2940913
1362300,2018,2957409
1362300,2019,3112111
1362400,2000,1592130
1362400,2001,1636149
1362400,2002,1660176
1362400,2003,1696803
1362400,2004,1714267
1362400,2005,1760768
1362400,2006,1813952
1362400,2007,1826251
1362400,2008,1872114
1362400,2009,1946828
1362400,2010,1951960
1362400,2011,1971844
1362400,2012,2052577
1362400,2013,2087445
1362400,2014,2129669
1362400,2015,2159670
1362400,2016,2201931
1362400,2017,2271425
1362400,2018,2279536
1362400,2019,2354449
1362500,2000,983011
1362500,2001,1007658
1362500,2002,1020323
1362500,2003,1037415
1362500,2004,1052580
1362500,2005,1072676
1362500,2006,1116153
1362500,2007,1116820
1362500,2008,1154556
1362500,2009,1167840
1362500,2010,1185449
1362500,2011,1231843
1362500,2012,1262812
1362500,2013,1243509
1362500,2014,1294758
1362500,2015,1327210
1362500,2016,1346449
1362500,2017,1404109
1362500,2018,1431659
1362500,2019,1433341
